"";"collocate";"animal"
"136";"guide_vv0";"dog"
"187";"mad_jj";"dog"
"233";"lap_nn1";"dog"
"218";"has_vhz";"dog"
"2";"tom_np1";"cat"
"170";"mad_jj";"dog"
"9";"tom_np1";"cat"
"72";"guide_nn1";"dog"
"119";"guide_nn1";"dog"
"122";"guide_nn1";"dog"
"165";"mad_jj";"dog"
"184";"mad_jj";"dog"
"102";"guide_nn1";"dog"
"177";"mad_jj";"dog"
"46";"ginger_jj";"cat"
"256";"dangerous_jj";"dog"
"201";"has_vhz";"dog"
"87";"guide_nn1";"dog"
"178";"mad_jj";"dog"
"181";"mad_jj";"dog"
"19";"siamese_jj";"cat"
"1";"tom_np1";"cat"
"97";"guide_nn1";"dog"
"56";"purring_jj";"cat"
"191";"barking_jj";"dog"
"134";"guide_vv0";"dog"
"211";"has_vhz";"dog"
"49";"ginger_jj";"cat"
"223";"lap_nn1";"dog"
"22";"siamese_jj";"cat"
"14";"tom_nn1";"cat"
"75";"guide_nn1";"dog"
"60";"playing_vvg";"cat"
"212";"has_vhz";"dog"
"140";"mad_jj";"dog"
"186";"mad_jj";"dog"
"206";"has_vhz";"dog"
"202";"has_vhz";"dog"
"168";"mad_jj";"dog"
"8";"tom_np1";"cat"
"84";"guide_nn1";"dog"
"88";"guide_nn1";"dog"
"63";"because_cs";"cat"
"261";"best_jjt";"dog"
"45";"ginger_jj";"cat"
"215";"has_vhz";"dog"
"157";"mad_jj";"dog"
"103";"guide_nn1";"dog"
"138";"guide_vvi";"dog"
"221";"lap_nn1";"dog"
"123";"guide_nn1";"dog"
"47";"ginger_jj";"cat"
"25";"siamese_jj";"cat"
"203";"has_vhz";"dog"
"68";"contented_jj";"cat"
"85";"guide_nn1";"dog"
"234";"lap_nn1";"dog"
"143";"mad_jj";"dog"
"108";"guide_nn1";"dog"
"259";"dangerous_jj";"dog"
"128";"guide_nn1";"dog"
"238";"dangerous_jj";"dog"
"144";"mad_jj";"dog"
"92";"guide_nn1";"dog"
"239";"dangerous_jj";"dog"
"190";"mad_jj";"dog"
"224";"lap_nn1";"dog"
"70";"contented_jj";"cat"
"254";"dangerous_jj";"dog"
"126";"guide_nn1";"dog"
"105";"guide_nn1";"dog"
"79";"guide_nn1";"dog"
"37";"tortoiseshell_nn1";"cat"
"15";"tom_nn1";"cat"
"251";"dangerous_jj";"dog"
"78";"guide_nn1";"dog"
"255";"dangerous_jj";"dog"
"242";"dangerous_jj";"dog"
"107";"guide_nn1";"dog"
"30";"siamese_jj";"cat"
"188";"mad_jj";"dog"
"174";"mad_jj";"dog"
"253";"dangerous_jj";"dog"
"175";"mad_jj";"dog"
"219";"lap_nn1";"dog"
"258";"dangerous_jj";"dog"
"129";"guide_nn1";"dog"
"260";"best_jjt";"dog"
"220";"lap_nn1";"dog"
"55";"purring_jj";"cat"
"121";"guide_nn1";"dog"
"74";"guide_nn1";"dog"
"111";"guide_nn1";"dog"
"130";"guide_nn1";"dog"
"236";"dangerous_jj";"dog"
"172";"mad_jj";"dog"
"162";"mad_jj";"dog"
"176";"mad_jj";"dog"
"101";"guide_nn1";"dog"
"263";"best_jjt";"dog"
"133";"guide_vv0";"dog"
"229";"lap_nn1";"dog"
"204";"has_vhz";"dog"
"43";"tortoiseshell_nn1";"cat"
"39";"tortoiseshell_nn1";"cat"
"62";"because_cs";"cat"
"244";"dangerous_jj";"dog"
"196";"barking_jj";"dog"
"192";"barking_jj";"dog"
"154";"mad_jj";"dog"
"11";"tom_nn1";"cat"
"135";"guide_vv0";"dog"
"34";"siamese_jj";"cat"
"73";"guide_nn1";"dog"
"112";"guide_nn1";"dog"
"153";"mad_jj";"dog"
"208";"has_vhz";"dog"
"161";"mad_jj";"dog"
"35";"tortoiseshell_nn1";"cat"
"167";"mad_jj";"dog"
"52";"purring_jj";"cat"
"33";"siamese_jj";"cat"
"98";"guide_nn1";"dog"
"152";"mad_jj";"dog"
"207";"has_vhz";"dog"
"69";"contented_jj";"cat"
"252";"dangerous_jj";"dog"
"113";"guide_nn1";"dog"
"48";"ginger_jj";"cat"
"71";"guide_nn1";"dog"
"100";"guide_nn1";"dog"
"257";"dangerous_jj";"dog"
"232";"lap_nn1";"dog"
"26";"siamese_jj";"cat"
"28";"siamese_jj";"cat"
"148";"mad_jj";"dog"
"27";"siamese_jj";"cat"
"171";"mad_jj";"dog"
"235";"lap_nn1";"dog"
"250";"dangerous_jj";"dog"
"124";"guide_nn1";"dog"
"36";"tortoiseshell_nn1";"cat"
"83";"guide_nn1";"dog"
"131";"guide_vv0";"dog"
"228";"lap_nn1";"dog"
"91";"guide_nn1";"dog"
"99";"guide_nn1";"dog"
"109";"guide_nn1";"dog"
"198";"barking_vvg";"dog"
"114";"guide_nn1";"dog"
"240";"dangerous_jj";"dog"
"262";"best_jjt";"dog"
"13";"tom_nn1";"cat"
"164";"mad_jj";"dog"
"169";"mad_jj";"dog"
"151";"mad_jj";"dog"
